target_id	length	eff_length	est_counts	tpm
NR_046233	13400	18535.3	468.25	3.33572
NR_003279	4730	5923.55	15832.1	352.914
NR_003280	157	27.0307	194.317	949.219
NR_015516	1571	1637.92	18.7564	1.51206
NM_010646	870	652.868	0	0
NM_001005418	336	142.682	0	0
NM_009485	3045	2827.8	0	0
NM_026939	1663	1674.65	73	5.7559
NM_001100416	2592	1957.92	230.337	15.534
NM_011093	1838	1612.11	1.47245	0.120603
NM_023566	7368	7150.8	0	0
NR_102721	1452	1487.42	0	0
NM_024470	942	724.797	0	0
NR_137283	2414	2049.2	13.4234	0.864951
NM_001346422	3729	3511.8	0	0
NM_001033256	2326	2357.31	67	3.75293
NM_053251	1027	809.797	0	0
NR_002845	2001	1783.8	0	0
NR_003518	2866	2926.73	250.795	11.3148
NM_001004145	2870	2652.8	0	0
NM_053154	1119	901.797	0	0
NM_013794	1234	873.867	1	0.151101
NR_151500	1002	784.797	0	0
NM_001030293	4542	4324.8	0	0
NM_134105	1233	1057.28	20.8519	2.60415
NR_152187	2964	2746.8	0	0
NR_152263	1071	1060.51	2	0.249018
NM_207535	918	700.834	0	0
NM_207534	864	646.868	0	0
NM_007852	282	101.478	0	0
NM_011954	869	651.868	0	0
NM_172505	2214	2138.94	21.8827	1.35087
NR_153818	1059	855.702	1	0.154309
NR_153811	1427	1209.8	0	0
NR_153412	4214	4430.07	168.765	5.03019
NM_001289428	3434	3188.91	37.2059	1.54058
NR_154462	2320	2254.54	3	0.175702
NR_004857	799	581.98	0	0
NM_172776	2269	2051.8	0	0
NM_001347175	3475	3541.21	14.5894	0.543998
NM_001361386	4080	4146.84	0	0
NM_001347067	4129	4225.96	0	0
NM_001347238	1853	1635.8	0	0
NM_030035	11025	10091.9	464	6.07099
NM_001356388	3524	3321.95	21.0255	0.835729
NM_001177538	2146	1928.8	0	0
NM_001039239	3114	2502.83	50.2421	2.65064
NM_001177539	2146	1928.8	0	0
NM_001024706	1004	644.005	0.220002	0.0451077
NM_001361637	857	639.868	0	0
NM_001242945	2008	1627.05	24.5327	1.99094
NM_001024714	983	765.797	0	0
NM_001081406	1503	1285.8	0	0
NR_154591	2853	2918.24	32.9082	1.48901
NR_154887	1410	1192.8	0	0
NR_154886	1414	1389.41	0	0
NR_154985	5242	5024.8	0	0
NR_154990	720	411.55	2.33609	0.749515
