target_id	length	eff_length	est_counts	tpm
NR_046233	13400	18675.8	489.544	3.47869
NR_003279	4730	5953.34	12875.4	287.015
NR_003280	157	27.3021	129.284	628.424
NR_015516	1571	1639.74	24.5325	1.9855
NM_010646	870	653.514	0	0
NM_001005418	336	144.015	0	0
NM_009485	3045	2828.46	0	0
NM_026939	1663	1689.36	107	8.40554
NM_001100416	2592	1961.08	210.581	14.2504
NM_011093	1838	1621.46	0	0
NM_023566	7368	7151.46	0	0
NR_102721	1452	1235.46	0	0
NM_024470	942	725.479	0	0
NR_137283	2414	2055.53	4.97423	0.321148
NM_001346422	3729	3512.46	0	0
NM_001033256	2326	2373.61	73	4.08147
NM_053251	1027	810.459	0	0
NR_002845	2001	1784.46	0	0
NR_003518	2866	2919.73	247.815	11.2639
NM_001004145	2870	2653.46	0	0
NM_053154	1119	902.459	0	0
NM_013794	1234	870.731	1	0.152412
NR_151500	1002	785.459	0	0
NM_001030293	4542	4325.46	0	0
NM_134105	1233	1068.82	23.5148	2.91972
NR_152187	2964	2747.46	0	0
NR_152263	1071	1068.22	2	0.248469
NM_207535	918	701.497	0	0
NM_207534	864	647.514	0	0
NM_007852	282	102.674	0	0
NM_011954	869	652.514	0	0
NM_172505	2214	2135.4	19.288	1.1987
NR_153818	1059	842.459	0	0
NR_153811	1427	1210.46	0	0
NR_153412	4214	4438.86	146.729	4.38682
NM_001289428	3434	3181.53	35.0612	1.4625
NR_154462	2320	2261.25	9	0.528199
NR_004857	799	582.624	0	0
NM_172776	2269	2052.46	0	0
NM_001347175	3475	3493.04	0	0
NM_001361386	4080	4166.56	49.9306	1.59035
NM_001347067	4129	4289.39	0	0
NM_001347238	1853	1636.46	0	0
NM_030035	11025	10098.1	399	5.2437
NM_001356388	3524	3315.59	61.8268	2.47468
NM_001177538	2146	1929.46	0	0
NM_001039239	3114	2529.18	34.3271	1.8012
NM_001177539	2146	1929.46	0	0
NM_001024706	1004	787.459	0	0
NM_001361637	857	640.514	0	0
NM_001242945	2008	1627.49	26.6862	2.17606
NM_001024714	983	766.479	0	0
NM_001081406	1503	1286.46	0	0
NR_154591	2853	2906.48	24.4532	1.11653
NR_154887	1410	1193.46	0	0
NR_154886	1414	1393.17	0	0
NR_154985	5242	5830.71	0	0
NR_154990	720	503.938	0	0
NR_154992	1737	1807.99	0	0
NR_155067	4696	4538.93	12.418	0.36308
NR_155034	2502	2379.12	94.2553	5.25767
NR_155066	4938	4741.44	0	0
NR_155065	4942	4778.84	31.5832	0.877076
NR_155077	3919	3998.21	0	0
NR_155076	4090	4160.78	0	0
NR_155206	781	564.711	0	0
NR_155207	5422	5732.86	0	0
NM_028550	1689	1472.46	0	0
NM_001361899	3657	3281.19	0.931804	0.0376875
NM_001361900	3640	3222.93	0	0
NM_001361930	1621	1404.46	0	0
NM_001361901	3678	3270.79	18.6758	0.757758
NR_155262	2642	2135.99	5.78409	0.359368
NR_029419	2764	2233.44	27.4747	1.63254
NR_148917	444	236.705	0	0
NR_154590	1565	1322.09	3	0.301138
NR_154987	2225	2008.46	0	0
NR_154989	3728	3653.52	2	0.0726478
NM_001361966	5262	5215.53	34.6939	0.882792
NM_028705	4742	4614.21	290.403	8.35234
NM_001361967	3992	3819.01	1.90287	0.0661243
NM_001033547	2055	1838.46	0	0
NM_177840	744	527.821	0	0
NM_001276448	824	607.593	0	0
NM_001361464	1952	1946.51	0	0
NM_001081065	1881	1862.08	0	0
NM_173773	1996	1779.46	0	0
