target_id	length	eff_length	est_counts	tpm
NR_046233	13400	20192.8	313.033	2.40591
NR_003279	4730	6182.96	14183.7	356.024
NR_003280	157	26.2909	89.5924	528.873
NR_015516	1571	1606.92	16.102	1.55515
NM_010646	870	627.876	0	0
NM_001005418	336	132.642	0	0
NM_009485	3045	2802.79	0	0
NM_026939	1663	1694.82	34	3.11345
NM_001100416	2592	1741.31	71.3032	6.35506
NM_011093	1838	1621.96	3.0655	0.293323
NM_023566	7368	7125.79	0	0
NR_102721	1452	1459.58	0	0
NM_024470	942	699.836	0	0
NR_137283	2414	1965.51	4.21865	0.333106
NM_001346422	3729	3486.79	0	0
NM_001033256	2326	2412.49	51	3.28087
NM_053251	1027	784.791	0	0
NR_002845	2001	1454.44	2	0.213412
NR_003518	2866	3091.66	146.231	7.34061
NM_001004145	2870	2627.79	0	0
NM_053154	1119	876.791	0	0
NM_013794	1234	991.791	0	0
NR_151500	1002	759.791	0	0
NM_001030293	4542	4331.12	1	0.0358332
NM_134105	1233	1084.78	10.6208	1.5195
NR_152187	2964	2721.79	0	0
NR_152263	1071	828.791	0	0
NM_207535	918	675.836	0	0
NM_207534	864	621.876	0	0
NM_007852	282	95.6302	0	0
NM_011954	869	626.876	0	0
NM_172505	2214	2199.22	8.66706	0.61163
NR_153818	1059	904.669	1	0.171552
NR_153811	1427	1184.79	0	0
NR_153412	4214	4580.43	196.238	6.64908
NM_001289428	3434	3153.92	48.5742	2.39023
NR_154462	2320	2234.81	4	0.277783
NR_004857	799	556.964	0	0
NM_172776	2269	2026.79	0	0
NM_001347175	3475	3676.2	9.03435	0.381402
NM_001361386	4080	4298.97	30.3395	1.09529
NM_001347067	4129	4428.2	0	0
NM_001347238	1853	1610.79	0	0
NM_030035	11025	9816.02	272	4.3005
NM_001356388	3524	3288.23	16.5056	0.77903
NM_001177538	2146	2150.51	0.333333	0.0240559
NM_001039239	3114	2236.11	23.451	1.62763
NM_001177539	2146	2150.51	0.333333	0.0240559
NM_001024706	1004	761.791	0	0
NM_001361637	857	614.876	0	0
NM_001242945	2008	1527.89	17.1218	1.73917
NM_001024714	983	740.836	0	0
NM_001081406	1503	1260.79	0	0
NR_154591	2853	2953.48	17.1529	0.901342
NR_154887	1410	1519.57	0	0
NR_154886	1414	1524.07	0	0
NR_154985	5242	4999.79	0	0
NR_154990	720	341.789	4.4672	2.02845
NR_154992	1737	1494.79	0	0
NR_155067	4696	4479.02	14.3744	0.498071
NR_155034	2502	2448.3	27.8823	1.76746
NR_155066	4938	4696.63	5.46516	0.180594
NR_155065	4942	4699.21	3.1812	0.105063
NR_155077	3919	4110.86	0	0
NR_155076	4090	4227.22	0	0
NR_155206	781	539.03	0	0
NR_155207	5422	6204.55	0	0
NM_028550	1689	1446.79	0	0
NM_001361899	3657	3131.43	0	0
NM_001361900	3640	3066.68	0	0
NM_001361930	1621	1378.79	0	0
NM_001361901	3678	3119.67	0	0
NR_155262	2642	1963.49	0	0
NR_029419	2764	2036.03	12.2819	0.936193
NR_148917	444	218.252	0	0
NR_154590	1565	1264.56	1	0.122728
NR_154987	2225	1982.79	0	0
NR_154989	3728	3722.64	3	0.125071
NM_001361966	5262	5241.84	99.6125	2.94928
NM_028705	4742	4625.14	156.01	5.23494
NM_001361967	3992	3750.42	5.37789	0.222545
NM_001033547	2055	1812.79	0	0
NM_177840	744	502.251	0	0
NM_001276448	824	581.894	0	0
NM_001361464	1952	1972.44	0	0
NM_001081065	1881	1930.08	10.8226	0.870249
NM_173773	1996	1753.79	0	0
NM_001361465	1980	2055.19	6.77273	0.511443
NM_001347040	1922	1979.17	17.4047	1.3648
NM_001001334	1651	1408.79	0	0
NM_201530	918	675.836	0	0
NM_001362097	1296	1081.05	18.1244	2.60198
NM_199257	2549	2306.79	0	0
